000002EMPF    00000000000000000000000000000160817.00C
000002ITAX    00000000000000000000000000000228051.00C
000002LICS    00000000000000000000000000000040690.30C
000003HSLN    00000000000000270000000000000001848.00C
000003HSLN    00000000000000230000000000000001316.00C
000003HSLN    00000000000000240000000000000000526.00C
000003HSLN    00000000000000200000000000000000467.00C
000003HSLN    00000000000000190000000000000001042.00C
000003HSLN    00000000000000330000000000000004532.00C
000003HSLN    00000000000000320000000000000003000.00C
000003HSLN    00000000000000340000000000000007426.00C
000012STLN    00000000000002140000000000000003274.00C
000009STLN    00000000000003290000000000000001213.00C
000009STLN    00000000000003440000000000000001733.00C
000009STLN    00000000000002970000000000000001661.00C
000009STLN    00000000000003350000000000000000952.00C
000003STLN    00000000000007050000000000000000871.00C
000013STLN    00000000000002910000000000000002174.00C
000013STLN    00000000000005420000000000000001665.00C
000003STLN    00000000000007100000000000000001189.00C
000013STLN    00000000000005290000000000000002379.00C
000003MTLN    00000000000000650000000000000002379.00C
000003MTLN    00000000000000800000000000000002585.00C
000003MTLN    00000000000000930000000000000003500.00C
000010MTLN    00000000000003720000000000000002200.00C
000012MTLN    00000000000002220000000000000002200.00C
000012MTLN    00000000000001950000000000000002174.00C
000012MTLN    00000000000002210000000000000002374.00C
000004MTLN    00000000000000190000000000000000952.00C
000004MTLN    00000000000000290000000000000000833.00C
000004MTLN    00000000000000230000000000000002432.00C
000010MTLN    00000000000003810000000000000002380.00C
000010MTLN    00000000000003870000000000000002174.00C
000010MTLN    00000000000003930000000000000002380.00C
000004MTLN    00000000000000330000000000000002380.00C
000004MTLN    00000000000000400000000000000002179.00C
000004MTLN    00000000000000250000000000000002379.00C
000004MTLN    00000000000000310000000000000002379.00C
000004MTLN    00000000000000380000000000000002179.00C
000004MTLN    00000000000000420000000000000002141.00C
000004MTLN    00000000000000550000000000000002379.00C
000007MTLN    00000000000001530000000000000002379.00C
000007MTLN    00000000000001510000000000000002379.00C
000007MTLN    00000000000001640000000000000002174.00C
000007MTLN    00000000000001660000000000000002379.00C
000007MTLN    00000000000001680000000000000002379.00C
000007MTLN    00000000000001710000000000000002141.00C
000005MTLN    00000000000014790000000000000003467.00C
000010MTLN    00000000000003780000000000000002174.00C
000006MTLN    00000000000003740000000000000002174.00C
000006MTLN    00000000000003850000000000000002379.00C
000004MTLN    00000000000000480000000000000002200.00C
000009MTLN    00000000000000720000000000000002379.00C
000009MTLN    00000000000000770000000000000002174.00C
000009MTLN    00000000000000800000000000000002379.00C
000009MTLN    00000000000000460000000000000001062.00C
000006MTLN    00000000000003760000000000000002379.00C
000010MTLN    00000000000003880000000000000002174.00C
000011MTLN    00000000000000750000000000000002200.00C
000007MTLN    00000000000001320000000000000002175.00C
000011MTLN    00000000000000660000000000000001112.00C
000011MTLN    00000000000000700000000000000001062.00C
000013MTLN    00000000000001890000000000000002379.00C
000003MTLN    00000000000000560000000000000001216.00C
000006MTLN    00000000000003870000000000000002174.00C
000006MTLN    00000000000003810000000000000002174.00C
000007MTLN    00000000000001700000000000000001190.00C
000008MTLN    00000000000002460000000000000001062.00C
000008MTLN    00000000000002330000000000000001459.00C
000003MTLN    00000000000000840000000000000001112.00C
000012MTLN    00000000000002230000000000000001618.00C
000012MTLN    00000000000002270000000000000000556.00C
000012MTLN    00000000000002280000000000000001189.00C
000010MTLN    00000000000003940000000000000001784.00C
000011MTLN    00000000000000690000000000000002174.00C
000006MTLN    00000000000003200000000000000000653.00C
000006MTLN    00000000000003660000000000000002174.00C
000006MTLN    00000000000003880000000000000004758.00C
000003MTLN    00000000000000680000000000000001062.00C
000003MTLN    00000000000000810000000000000001112.00C
000003MTLN    00000000000000890000000000000002141.00C
000006MTLN    00000000000003830000000000000001062.00C
000006MTLN    00000000000003840000000000000001112.00C
000006MTLN    00000000000003860000000000000001427.00C
000006MTLN    00000000000003910000000000000001784.00C
000005MTLN    00000000000014930000000000000002248.00C
000005MTLN    00000000000014970000000000000001189.00C
000007MTLN    00000000000001690000000000000001530.00C
000006MTLN    00000000000003800000000000000002379.00C
000006MTLN    00000000000003920000000000000002174.00C
000006MTLN    00000000000003770000000000000001308.00C
000006MTLN    00000000000003820000000000000001062.00C
000006MTLN    00000000000003930000000000000001023.00C
000006MTLN    00000000000003960000000000000001112.00C
000006MTLN    00000000000003990000000000000002331.00C
000006MTLN    00000000000003980000000000000001546.00C
000009MTLN    00000000000000790000000000000001062.00C
000011MTLN    00000000000000610000000000000001112.00C
000011MTLN    00000000000000670000000000000001100.00C
000011MTLN    00000000000000720000000000000002400.00C
